id,num_prompt_tokens,num_input_tokens,effective_num_gist_tokens,gist_index,first_run,model,cpu_time,cuda_time,flops
0,51,27,1,23,standard,standard,95347,29222,566742242385
0,51,27,1,23,standard,gist,101852,29163,306648110641
1,27,1,1,25,gist,standard,100339,28639,305026486545
1,27,1,1,25,gist,gist,93579,26372,23623754195
2,65,20,1,44,gist,standard,98946,31889,719618994245
2,65,20,1,44,gist,gist,97048,28746,230396938672
3,50,8,1,41,gist,standard,98245,28923,555828373670
3,50,8,1,41,gist,gist,96184,27817,99770312620
4,36,1,1,34,standard,standard,94022,28767,403116801510
4,36,1,1,34,standard,gist,97783,26433,23623754195
5,23,10,1,12,standard,standard,97043,28353,261451241825
5,23,10,1,12,standard,gist,101964,27896,121533551282
6,28,9,1,18,standard,standard,92992,28589,315922264150
6,28,9,1,18,standard,gist,101447,27833,110651538667
7,131,109,1,21,gist,standard,99132,38186,1442400226385
7,131,109,1,21,gist,gist,96337,33573,1202746311767
8,25,6,1,18,gist,standard,99646,28336,283237291045
8,25,6,1,18,gist,gist,94520,27709,78010220230
9,30,9,1,20,gist,standard,99593,28654,337716179070
9,30,9,1,20,gist,gist,96968,27824,110651538667
10,17,1,1,15,standard,standard,93075,28303,196111971845
10,17,1,1,15,standard,gist,99409,26561,23623754195
11,41,25,1,15,gist,standard,93776,28835,457638950885
11,41,25,1,15,gist,gist,93831,26125,284858128667
12,45,9,1,35,gist,standard,92784,28970,501270828645
12,45,9,1,35,gist,gist,95857,27825,110651538667
13,139,120,1,18,standard,standard,92227,38400,1530242897425
13,139,120,1,18,standard,gist,96510,34021,1323356936572
14,20,1,1,18,standard,standard,92721,27990,228778067270
14,20,1,1,18,standard,gist,97951,26380,23623754195
15,29,1,1,27,standard,standard,93370,28676,326818828325
15,29,1,1,27,standard,gist,99919,26419,23623754195
16,22,6,1,15,standard,standard,92131,28079,250559397070
16,22,6,1,15,standard,gist,94032,27717,78010220230
17,69,28,1,40,gist,standard,93409,32010,763326382725
17,69,28,1,40,gist,gist,95410,29148,317544281480
18,19,1,1,17,standard,standard,92914,28246,217888582225
18,19,1,1,17,standard,gist,93367,26410,23623754195
19,118,96,1,21,standard,standard,93854,33258,1299763252750
19,118,96,1,21,standard,gist,107316,33214,1060329187060
20,42,24,1,17,gist,standard,100439,28826,468545740470
20,42,24,1,17,gist,gist,97005,28772,273964317532
21,90,81,1,8,standard,standard,94298,32362,992996646870
21,90,81,1,8,standard,gist,101237,32732,896166914755
22,49,10,1,38,standard,standard,93617,28843,544915291525
22,49,10,1,38,standard,gist,100305,27952,121533551282
23,43,29,1,13,standard,standard,93531,28929,479453316625
23,43,29,1,13,standard,gist,98205,29143,328441238887
24,70,11,1,58,standard,standard,93800,31985,774255196270
24,70,11,1,58,standard,gist,101226,27882,132416350465
25,34,6,1,27,gist,standard,93198,28709,381313447750
25,34,6,1,27,gist,gist,96669,27522,78010220230
26,50,26,1,23,standard,standard,93645,28859,555828373670
26,50,26,1,23,standard,gist,99554,28952,295752726370
27,27,1,1,25,gist,standard,97110,28676,305026486545
27,27,1,1,25,gist,gist,95279,26434,23623754195
28,47,27,1,19,gist,standard,99550,28965,523091486945
28,47,27,1,19,gist,gist,96622,29041,306648110641
29,104,73,1,30,standard,standard,93121,32599,1146302865950
29,104,73,1,30,standard,gist,100498,32571,808686067115
30,34,20,1,13,gist,standard,98868,28819,381313447750
30,34,20,1,13,gist,gist,96290,28599,230396938672
31,31,12,1,18,standard,standard,93896,28720,348614316385
31,31,12,1,18,standard,gist,100383,28032,143299936216
32,47,13,1,33,standard,standard,93899,29061,523091486945
32,47,13,1,33,standard,gist,101258,27975,154184308535
33,44,10,1,33,gist,standard,99934,28902,490361679350
33,44,10,1,33,gist,gist,93543,27935,121533551282
34,38,19,1,18,gist,standard,100387,28844,424923301550
34,38,19,1,18,gist,gist,96021,28595,219507060377
35,150,138,1,11,gist,standard,100540,38466,1651108766670
35,150,138,1,11,gist,gist,94688,39011,1520925071410
36,28,14,1,13,standard,standard,96994,28588,315922264150
36,28,14,1,13,standard,gist,98141,28078,165069467422
37,183,162,1,20,standard,standard,94288,33594,2014277424225
37,183,162,1,20,standard,gist,103000,39831,1784745681466
38,55,29,1,25,gist,standard,100433,29170,610405582945
38,55,29,1,25,gist,gist,96776,29168,328441238887
39,38,10,1,27,standard,standard,94411,28847,424923301550
39,38,10,1,27,standard,gist,101574,27939,121533551282
40,45,30,1,14,standard,standard,94946,28941,501270828645
40,45,30,1,14,standard,gist,97417,29214,339338982862
41,64,39,1,24,standard,standard,95556,29143,708694113550
41,64,39,1,24,standard,gist,102209,29282,437454074197
42,109,78,1,30,standard,standard,94490,33052,1201092449125
42,109,78,1,30,standard,gist,94993,32775,863355697630
43,26,10,1,15,gist,standard,99041,28434,294131495510
43,26,10,1,15,gist,gist,97123,27941,121533551282
44,21,1,1,19,standard,standard,92812,28099,239668338885
44,21,1,1,19,standard,gist,101459,26425,23623754195
45,28,1,1,26,gist,standard,100438,28584,315922264150
45,28,1,1,26,gist,gist,91450,26390,23623754195
46,24,1,1,22,standard,standard,94748,28275,272343873150
46,24,1,1,22,standard,gist,97588,26423,23623754195
47,272,239,1,32,gist,standard,102467,50048,2998002577070
