id,num_prompt_tokens,num_input_tokens,effective_num_gist_tokens,gist_index,first_run,model,cpu_time,cuda_time,flops
0,58,34,24,0,standard,standard,60083,18971,768285567292
0,58,34,24,0,standard,gist,98333,18908,450374408236
1,30,2,28,0,gist,standard,65345,19884,396947951300
1,30,2,28,0,gist,gist,62489,18523,26463445244
2,67,23,44,0,gist,standard,63658,24410,887819016280
2,67,23,44,0,gist,gist,62839,20577,304773867000
3,50,9,41,0,gist,standard,60440,20331,662105055340
3,50,9,41,0,gist,gist,64048,19246,119179128278
4,37,2,35,0,standard,standard,60247,20216,489705134140
4,37,2,35,0,standard,gist,67021,18766,26470799640
5,25,11,14,0,standard,standard,62501,19629,330724339540
5,25,11,14,0,standard,gist,69239,19204,145518858492
6,29,12,17,0,standard,standard,59578,20033,383701127692
6,29,12,17,0,standard,gist,67956,19348,158773036496
7,138,116,22,0,gist,standard,65862,32182,1833788897372
7,138,116,22,0,gist,gist,63376,29236,1541445782264
8,29,9,20,0,gist,standard,64878,20023,383701127692
8,29,9,20,0,gist,gist,63486,19178,119079843932
9,33,11,22,0,gist,standard,64309,20074,436694725892
9,33,11,22,0,gist,gist,63502,19335,145565086124
10,19,2,17,0,standard,standard,60778,19359,251290676152
10,19,2,17,0,standard,gist,68852,18401,26451888336
11,47,30,17,0,gist,standard,65050,20676,622304698720
11,47,30,17,0,gist,gist,61612,20970,397215861440
12,46,7,39,0,gist,standard,59776,20459,609040014436
12,46,7,39,0,gist,gist,63771,19015,92680227922
13,152,132,20,0,standard,standard,61450,32078,2020943293360
13,152,132,20,0,standard,gist,69721,32770,1755029737160
14,25,2,23,0,standard,standard,58884,19612,330724339540
14,25,2,23,0,standard,gist,63838,18424,26458192104
15,29,2,27,0,standard,standard,61160,20028,383701127692
15,29,2,27,0,standard,gist,62759,18408,26462394616
16,25,8,17,0,standard,standard,63243,19613,330724339540
16,25,8,17,0,standard,gist,64205,19079,105831969696
17,70,27,43,0,gist,standard,59763,24159,927682410580
17,70,27,43,0,gist,gist,63973,20804,357820521914
18,19,2,17,0,standard,standard,61121,19365,251290676152
18,19,2,17,0,standard,gist,68503,18409,26451888336
19,136,111,25,0,standard,standard,58906,31892,1807069365136
19,136,111,25,0,standard,gist,64663,28874,1474887545486
20,43,26,17,0,gist,standard,59608,20494,569252265352
20,43,26,17,0,gist,gist,65767,20574,344199149424
21,88,78,10,0,standard,standard,60342,26961,1167061345072
21,88,78,10,0,standard,gist,69050,25107,1034440767932
22,54,15,39,0,standard,standard,59266,20294,715186906292
22,54,15,39,0,standard,gist,69872,19564,198663221810
23,48,32,16,0,standard,standard,60881,20363,635570433632
23,48,32,16,0,standard,gist,67667,20812,423713711168
24,78,15,63,0,standard,standard,60856,24290,1034031023012
24,78,15,63,0,standard,gist,72123,19678,198852334850
25,42,7,35,0,gist,standard,63616,20362,555991783580
25,42,7,35,0,gist,gist,64154,18992,92665519130
26,53,30,23,0,standard,standard,60919,20420,701914867612
26,53,30,23,0,standard,gist,67573,21006,397310417960
27,29,2,27,0,gist,standard,62666,20052,383701127692
27,29,2,27,0,gist,gist,63651,18421,26462394616
28,52,33,19,0,gist,standard,63165,20189,688643879560
28,52,33,19,0,gist,gist,64034,20748,437024097770
29,104,74,30,0,standard,standard,60490,27450,1380128390992
29,104,74,30,0,standard,gist,69226,25138,982014508852
30,34,19,15,0,gist,standard,64125,19882,449945752012
30,34,19,15,0,gist,gist,62388,19965,251440390642
31,44,25,19,0,standard,standard,60941,20421,582513797752
31,44,25,19,0,standard,gist,69819,20265,330973863690
32,47,13,34,0,standard,standard,59102,20705,622304698720
32,47,13,34,0,standard,gist,68881,19577,172127024160
33,51,14,37,0,gist,standard,64588,18167,675373942136
33,51,14,37,0,gist,gist,63967,17594,185396961584
34,42,24,18,0,gist,standard,60756,20329,555991783580
34,42,24,18,0,gist,gist,63861,20231,317709704720
35,206,192,14,0,gist,standard,72371,39678,2744753488036
35,206,192,14,0,gist,gist,65685,34921,2558216861312
36,33,16,17,0,standard,standard,60824,20086,436694725892
36,33,16,17,0,standard,gist,68119,20024,211730913344
37,182,160,22,0,standard,standard,63352,33464,2422681842100
37,182,160,22,0,standard,gist,69431,33916,2129830223040
38,54,27,27,0,gist,standard,64321,20240,715186906292
38,54,27,27,0,gist,gist,63950,20607,357593586266
39,38,10,28,0,standard,standard,60585,20059,502960362772
39,38,10,28,0,standard,gist,70271,19201,132358186380
40,57,41,16,0,standard,standard,60440,20766,755009326100
40,57,41,16,0,standard,gist,63197,21357,543076958420
41,61,38,23,0,standard,standard,61237,20671,808120594636
41,61,38,23,0,standard,gist,69249,21098,503419487208
42,115,84,31,0,standard,standard,62284,28096,1526768003320
42,115,84,31,0,standard,gist,71650,28286,1115204526368
43,25,9,16,0,gist,standard,65154,19612,330724339540
43,25,9,16,0,gist,gist,64023,19163,119060932628
44,26,2,24,0,standard,standard,66424,19501,343966960636
44,26,2,24,0,standard,gist,69265,18444,26459242732
45,31,2,29,0,gist,standard,62485,20136,410195825536
45,31,2,29,0,gist,gist,62644,18512,26464495872
46,25,2,23,0,standard,standard,61579,19754,330724339540
46,25,2,23,0,standard,gist,68247,18589,26458192104
47,275,240,35,0,gist,standard,80933,45142,3674080410040
47,275,240,35,0,gist,gist,75964,40263,3206470209920
48,38,8,30,0,gist,standard,63404,20094,502960362772
48,38,8,30,0,gist,gist,62891,19059,105886602352
49,46,13,33,0,standard,standard,60842,20444,609040014436
49,46,13,33,0,standard,gist,69893,19410,172120195078
50,41,13,28,0,gist,standard,61230,20457,542732352436
50,41,13,28,0,gist,gist,63186,19548,172086049668
51,155,134,21,0,gist,standard,64124,32787,2061074597800
51,155,134,21,0,gist,gist,65180,33285,1781832269008
52,19,2,17,0,gist,standard,64521,19359,251290676152
52,19,2,17,0,gist,gist,63935,18377,26451888336
53,40,9,31,0,gist,standard,64303,20057,529473971920
53,40,9,31,0,gist,gist,64482,19258,119131850018
54,34,8,26,0,gist,standard,66495,19886,449945752012
54,34,8,26,0,gist,gist,63842,19033,105869792304
55,45,19,26,0,gist,standard,67429,20620,595776380780
55,45,19,26,0,gist,gist,61789,20241,251550181268
56,32,9,23,0,standard,standard,61131,19960,423444750400
56,32,9,23,0,standard,gist,69595,19031,119094027410
57,272,238,34,0,standard,standard,73941,44954,3633570879520
57,272,238,34,0,standard,gist,76569,38615,3179374552860
58,180,163,17,0,standard,standard,62474,33450,2395869854600
58,180,163,17,0,standard,gist,65153,34159,2169593282366
59,43,25,18,0,standard,standard,60691,20528,569252265352
59,43,25,18,0,standard,gist,68740,20475,330960730840
60,28,9,19,0,standard,standard,59028,19831,370455354712
60,28,9,19,0,standard,gist,64600,19080,119075116106
61,26,16,10,0,standard,standard,60623,19494,343966960636
61,26,16,10,0,standard,gist,70111,19757,211672078176
62,26,7,19,0,gist,standard,65954,19652,343966960636
62,26,7,19,0,gist,gist,62235,18824,92606683962
63,84,66,18,0,standard,standard,60924,26972,1113836608712
63,84,66,18,0,standard,gist,69329,24962,875157392468
64,37,16,21,0,standard,standard,61405,20204,489705134140
64,37,16,21,0,standard,gist,70660,19981,211764533440
65,47,9,38,0,gist,standard,66902,18795,622304698720
65,47,9,38,0,gist,gist,62130,19440,119164944800
66,129,79,50,0,standard,standard,60445,26332,1713584097092
66,129,79,50,0,standard,gist,69234,22328,1049404317692
67,437,373,64,0,gist,standard,89057,59605,5875636701340
67,437,373,64,0,gist,gist,94846,53447,5015131594140
68,31,15,16,0,standard,standard,59686,20091,410195825536
68,31,15,16,0,standard,gist,64965,19446,198481988480
69,23,2,21,0,gist,standard,59591,19462,304242249232
69,23,2,21,0,gist,gist,63828,18331,26456090848
70,36,16,20,0,gist,standard,66913,19998,476450956136
70,36,16,20,0,gist,gist,63977,19748,211756128416
71,101,81,20,0,standard,standard,58994,27756,1340157832636
71,101,81,20,0,standard,gist,71111,25637,1074780096716
72,24,2,22,0,standard,standard,60634,19404,317482769072
72,24,2,22,0,standard,gist,68097,18365,26457141476
73,32,11,21,0,gist,standard,67069,19916,423444750400
73,32,11,21,0,gist,gist,64114,19110,145559307670
74,68,43,25,0,gist,standard,64769,24182,901105763752
74,68,43,25,0,gist,gist,63693,21354,569816977902
75,58,41,17,0,gist,standard,65255,20416,768285567292
75,58,41,17,0,gist,gist,64491,21187,543098496294
76,45,28,17,0,gist,standard,65265,20570,595776380780
76,45,28,17,0,gist,gist,63670,20876,370705404176
77,51,2,49,0,standard,standard,61241,20406,675373942136
77,51,2,49,0,standard,gist,68917,18767,26485508432
78,23,7,16,0,standard,standard,59607,19478,304242249232
78,23,7,16,0,standard,gist,69546,18840,92595652368
79,63,40,23,0,standard,standard,60822,20743,834682532672
79,63,40,23,0,standard,gist,68524,21075,529957260800
80,27,2,25,0,gist,standard,67637,19887,357210632360
80,27,2,25,0,gist,gist,63938,18414,26460293360
81,50,29,21,0,gist,standard,65348,20364,662105055340
81,50,29,21,0,gist,gist,63156,20793,384021043918
82,170,131,39,0,standard,standard,62104,34179,2261872954780
82,170,131,39,0,standard,gist,70166,33313,1742972749762
83,48,8,40,0,standard,standard,60801,20368,635570433632
83,48,8,40,0,standard,gist,69094,19067,105928627472
84,26,6,20,0,standard,standard,66183,19517,343966960636
84,26,6,20,0,standard,gist,66998,18721,79377195716
85,94,25,69,0,standard,standard,60730,27432,1246929968452
85,94,25,69,0,standard,gist,70207,20724,331630506190
86,20,2,18,0,gist,standard,65883,19255,264526993480
86,20,2,18,0,gist,gist,65936,18369,26452938964
87,59,10,49,0,gist,standard,64389,20706,781562859112
87,59,10,49,0,gist,gist,69893,19548,132468502320
88,119,95,24,0,gist,standard,66427,28270,1580123017552
88,119,95,24,0,gist,gist,64776,28798,1261442798800
89,17,2,15,0,standard,standard,60718,19304,224821193380
89,17,2,15,0,standard,gist,68002,18443,26449787080
90,27,2,25,0,standard,standard,61043,19893,357210632360
90,27,2,25,0,standard,gist,66041,18375,26460293360
91,24,8,16,0,gist,standard,66831,19405,317482769072
91,24,8,16,0,gist,gist,62652,18979,105827767184
92,45,27,18,0,gist,standard,65385,20589,595776380780
92,45,27,18,0,gist,gist,63874,20757,357465934964
93,460,441,19,0,gist,standard,92277,62591,6190438546360
93,460,441,19,0,gist,gist,89249,60444,5934746530442
94,70,45,25,0,gist,standard,65967,24289,927682410580
94,70,45,25,0,gist,gist,63275,21480,596367359030
95,66,7,59,0,standard,standard,60835,24194,874533319436
95,66,7,59,0,standard,gist,69704,19084,92753771882
96,317,224,93,0,gist,standard,76187,47670,4242206680780
96,317,224,93,0,gist,gist,74277,40088,2997647701120
97,41,26,15,0,standard,standard,61225,20483,542732352436
97,41,26,15,0,standard,gist,63420,20484,344171833096
98,58,36,22,0,standard,standard,62191,20464,768285567292
98,58,36,22,0,standard,gist,64990,19036,476867004824
99,68,53,15,0,standard,standard,59056,20897,901105763752
99,68,53,15,0,standard,gist,65275,21221,702332492242
100,88,35,53,0,standard,standard,60104,26969,1167061345072
100,88,35,53,0,standard,gist,65394,20965,464172286230
101,22,9,13,0,gist,standard,64333,19168,291002780020
101,22,9,13,0,gist,gist,62410,19101,119046749150
102,31,9,22,0,standard,standard,61129,20114,410195825536
102,31,9,22,0,standard,gist,69574,19143,119089299584
103,24,2,22,0,gist,standard,65125,19403,317482769072
103,24,2,22,0,gist,gist,64109,18353,26457141476
104,306,281,25,0,gist,standard,79872,46738,4093232573036
104,306,281,25,0,gist,gist,79312,47260,3758818168886
105,72,31,41,0,standard,standard,61472,24143,954263259920
105,72,31,41,0,standard,gist,64999,20940,410863499630
106,35,9,26,0,standard,standard,61179,20141,463197828760
106,35,9,26,0,standard,gist,69030,19247,119108210888
107,55,26,29,0,gist,standard,66896,20702,728459995600
107,55,26,29,0,gist,gist,64289,20676,344363047392
108,31,12,19,0,standard,standard,60027,20122,410195825536
108,31,12,19,0,standard,gist,69798,19250,158785644032
109,29,9,20,0,standard,standard,61198,20079,383701127692
